region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
South West,2020-10-04,,estimate,9,10,5,3,6,8,10,13,20
South West,2020-10-05,,estimate,12,13,7,4,9,11,14,17,27
South West,2020-10-06,,estimate,14,15,8,5,10,12,16,19,29
South West,2020-10-10,,estimate,14,16,8,5,10,13,16,20,30
South West,2020-10-07,,estimate,14,16,8,5,10,13,16,20,31
South West,2020-10-08,,estimate,15,16,8,5,10,13,17,21,32
Northern Ireland,2020-10-05,,estimate,16,21,18,3,9,13,20,27,55
South West,2020-10-09,,estimate,17,18,9,6,12,15,19,23,35
South West,2020-10-11,,estimate,17,18,9,6,12,15,19,23,36
Northern Ireland,2020-10-07,,estimate,17,21,18,2,9,14,20,28,56
Northern Ireland,2020-10-06,,estimate,17,22,19,2,10,14,21,29,57
Northern Ireland,2020-10-11,,estimate,18,23,19,3,10,14,22,30,57
Northern Ireland,2020-10-10,,estimate,18,23,20,3,10,15,22,30,61
Northern Ireland,2020-10-09,,estimate,19,23,19,3,10,15,23,31,59
Northern Ireland,2020-10-08,,estimate,20,25,21,3,11,17,25,34,64
Northern Ireland,2020-10-14,,estimate,22,28,23,4,12,18,27,37,71
Northern Ireland,2020-10-12,,estimate,22,28,23,4,12,18,27,38,72
South West,2020-10-12,,estimate,23,24,12,8,16,20,25,31,46
Northern Ireland,2020-10-18,,estimate,23,28,23,4,12,19,28,38,70
South West,2020-10-17,,estimate,24,27,13,9,17,22,27,33,51
South West,2020-10-13,,estimate,24,27,13,10,17,22,28,34,50
Northern Ireland,2020-10-16,,estimate,24,30,24,4,13,19,29,40,74
Northern Ireland,2020-10-17,,estimate,24,30,25,4,13,19,29,39,75
Northern Ireland,2020-10-25,,estimate based on partial data,24,31,27,4,13,19,30,41,80
Northern Ireland,2020-11-01,,estimate based on partial data,24,32,31,4,13,19,30,42,86
Northern Ireland,2020-10-13,,estimate,25,30,25,4,13,19,30,40,77
Northern Ireland,2020-10-24,,estimate based on partial data,25,32,27,4,14,20,31,42,80
Northern Ireland,2020-10-31,,estimate based on partial data,25,34,32,4,14,20,31,44,89
South West,2020-10-14,,estimate,26,28,13,10,18,23,29,35,53
South West,2020-10-15,,estimate,26,28,13,10,19,23,29,35,52
Northern Ireland,2020-10-23,,estimate based on partial data,26,33,26,5,14,21,32,44,83
Northern Ireland,2020-10-28,,estimate based on partial data,26,34,31,4,13,20,32,44,88
Northern Ireland,2020-10-21,,estimate,27,33,27,4,15,22,33,44,85
Northern Ireland,2020-10-15,,estimate,27,34,28,5,15,22,33,45,86
Northern Ireland,2020-10-30,,estimate based on partial data,27,34,30,4,14,21,33,46,86
Northern Ireland,2020-10-19,,estimate,28,35,29,5,15,23,34,46,89
Northern Ireland,2020-11-02,,estimate based on partial data,28,38,35,5,15,23,35,49,102
South West,2020-10-18,,estimate,29,30,14,11,21,25,32,38,56
South West,2020-10-16,,estimate,29,32,15,12,21,26,33,40,60
Northern Ireland,2020-10-26,,estimate based on partial data,29,37,31,5,16,24,35,49,96
Wales,2020-10-04,,estimate,30,32,13,14,23,27,33,39,54
Northern Ireland,2020-10-20,,estimate,30,37,29,5,17,25,36,49,91
Northern Ireland,2020-10-22,,estimate,30,39,32,5,17,25,37,51,101
Northern Ireland,2020-10-29,,estimate based on partial data,30,39,33,5,17,24,37,51,100
Northern Ireland,2020-10-27,,estimate based on partial data,30,39,37,5,16,24,37,52,101
Wales,2020-10-03,,estimate,31,32,12,14,23,28,34,39,55
Wales,2020-10-05,,estimate,35,37,15,17,27,32,39,46,64
South West,2020-10-19,,estimate,37,40,19,15,26,33,42,50,74
South West,2020-10-24,,estimate based on partial data,39,42,19,17,28,35,43,52,76
Wales,2020-10-11,,estimate,40,42,16,19,30,36,44,51,71
