region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Wales,2020-10-24,,estimate based on partial data,0.015,0.017,0.046,-0.053,-0.015,0.004,0.026,0.046,0.097
Wales,2020-10-25,,estimate based on partial data,0.015,0.017,0.046,-0.053,-0.015,0.004,0.026,0.046,0.097
Wales,2020-10-26,,estimate based on partial data,0.015,0.017,0.046,-0.053,-0.015,0.004,0.026,0.046,0.097
Wales,2020-10-27,,estimate based on partial data,0.015,0.017,0.046,-0.053,-0.015,0.004,0.026,0.046,0.097
Wales,2020-10-28,,estimate based on partial data,0.015,0.017,0.046,-0.053,-0.015,0.004,0.026,0.046,0.097
Wales,2020-10-29,,estimate based on partial data,0.015,0.017,0.046,-0.053,-0.015,0.004,0.026,0.046,0.097
Wales,2020-10-30,,estimate based on partial data,0.015,0.017,0.046,-0.053,-0.015,0.004,0.026,0.046,0.097
Wales,2020-10-31,,estimate based on partial data,0.015,0.017,0.046,-0.053,-0.015,0.004,0.026,0.046,0.097
Wales,2020-10-18,,estimate based on partial data,0.016,0.018,0.037,-0.042,-0.007,0.007,0.027,0.042,0.082
Wales,2020-10-19,,estimate based on partial data,0.016,0.018,0.037,-0.042,-0.007,0.007,0.027,0.042,0.082
Wales,2020-10-20,,estimate based on partial data,0.016,0.018,0.037,-0.042,-0.007,0.007,0.027,0.042,0.082
Wales,2020-10-21,,estimate based on partial data,0.016,0.018,0.037,-0.042,-0.007,0.007,0.027,0.042,0.082
Wales,2020-10-22,,estimate based on partial data,0.016,0.018,0.037,-0.042,-0.007,0.007,0.027,0.042,0.082
Wales,2020-10-23,,estimate based on partial data,0.016,0.018,0.037,-0.042,-0.007,0.007,0.027,0.042,0.082
Wales,2020-10-11,,estimate,0.025,0.026,0.028,-0.02,0.006,0.018,0.032,0.045,0.073
Wales,2020-10-12,,estimate based on partial data,0.025,0.026,0.028,-0.02,0.006,0.018,0.032,0.045,0.073
Wales,2020-10-13,,estimate based on partial data,0.025,0.026,0.028,-0.02,0.006,0.018,0.032,0.045,0.073
Wales,2020-10-14,,estimate based on partial data,0.025,0.026,0.028,-0.02,0.006,0.018,0.032,0.045,0.073
Wales,2020-10-15,,estimate based on partial data,0.025,0.026,0.028,-0.02,0.006,0.018,0.032,0.045,0.073
Wales,2020-10-16,,estimate based on partial data,0.025,0.026,0.028,-0.02,0.006,0.018,0.032,0.045,0.073
Wales,2020-10-17,,estimate based on partial data,0.025,0.026,0.028,-0.02,0.006,0.018,0.032,0.045,0.073
Wales,2020-10-04,,estimate,0.038,0.038,0.022,0.001,0.023,0.033,0.044,0.052,0.075
Wales,2020-10-05,,estimate,0.038,0.038,0.022,0.001,0.023,0.033,0.044,0.052,0.075
Wales,2020-10-06,,estimate,0.038,0.038,0.022,0.001,0.023,0.033,0.044,0.052,0.075
Wales,2020-10-07,,estimate,0.038,0.038,0.022,0.001,0.023,0.033,0.044,0.052,0.075
Wales,2020-10-08,,estimate,0.038,0.038,0.022,0.001,0.023,0.033,0.044,0.052,0.075
Wales,2020-10-09,,estimate,0.038,0.038,0.022,0.001,0.023,0.033,0.044,0.052,0.075
Wales,2020-10-10,,estimate,0.038,0.038,0.022,0.001,0.023,0.033,0.044,0.052,0.075
Northern Ireland,2020-10-16,,estimate based on partial data,0.049,0.051,0.04,-0.011,0.024,0.039,0.06,0.077,0.121
Northern Ireland,2020-10-17,,estimate based on partial data,0.049,0.051,0.04,-0.011,0.024,0.039,0.06,0.077,0.121
Northern Ireland,2020-10-18,,estimate based on partial data,0.049,0.051,0.04,-0.011,0.024,0.039,0.06,0.077,0.121
Northern Ireland,2020-10-19,,estimate based on partial data,0.049,0.051,0.04,-0.011,0.024,0.039,0.06,0.077,0.121
Northern Ireland,2020-10-20,,estimate based on partial data,0.049,0.051,0.04,-0.011,0.024,0.039,0.06,0.077,0.121
Northern Ireland,2020-10-21,,estimate based on partial data,0.049,0.051,0.04,-0.011,0.024,0.039,0.06,0.077,0.121
Northern Ireland,2020-10-22,,estimate based on partial data,0.049,0.051,0.04,-0.011,0.024,0.039,0.06,0.077,0.121
Northern Ireland,2020-10-23,,estimate based on partial data,0.049,0.051,0.04,-0.011,0.024,0.039,0.06,0.077,0.121
Northern Ireland,2020-10-24,,estimate based on partial data,0.049,0.051,0.04,-0.011,0.024,0.039,0.06,0.077,0.121
Northern Ireland,2020-10-25,,estimate based on partial data,0.049,0.051,0.04,-0.011,0.024,0.039,0.06,0.077,0.121
