Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
East of England,4 (1 -- 8),Unsure,0.89 (0.61 -- 1.19),-0.03 (-0.12 -- 0.05),-21.9 (15 -- -5.9)
England,53 (25 -- 89),Unsure,0.95 (0.7 -- 1.23),-0.01 (-0.08 -- 0.07),-51 (10.6 -- -8.3)
London,12 (3 -- 24),Unsure,1.13 (0.73 -- 1.52),0.03 (-0.08 -- 0.14),20.4 (5.1 -- -9.1)
Midlands,11 (4 -- 25),Unsure,1.08 (0.69 -- 1.5),0.02 (-0.08 -- 0.14),33.9 (5 -- -8.7)
North East and Yorkshire,8 (2 -- 15),Likely decreasing,0.85 (0.54 -- 1.14),-0.04 (-0.14 -- 0.04),-16.5 (17.9 -- -5.1)
North West,8 (2 -- 17),Likely decreasing,0.79 (0.44 -- 1.13),-0.06 (-0.16 -- 0.04),-11.5 (18.2 -- -4.2)
Northern Ireland,1 (0 -- 4),Unsure,1.04 (0.51 -- 1.52),0.01 (-0.12 -- 0.16),61.8 (4.4 -- -5.9)
Scotland,0 (0 -- 2),Unsure,0.87 (0.44 -- 1.4),-0.04 (-0.17 -- 0.11),-19 (6.5 -- -4.1)
South East,7 (2 -- 15),Unsure,1.02 (0.69 -- 1.36),0 (-0.09 -- 0.1),149.5 (7.2 -- -7.9)
South West,2 (0 -- 4),Unsure,0.91 (0.58 -- 1.26),-0.02 (-0.12 -- 0.07),-29.2 (9.8 -- -5.7)
Wales,46 (35 -- 56),Likely decreasing,0.97 (0.91 -- 1.03),-0.01 (-0.03 -- 0.01),-80.8 (100.7 -- -26.4)
