region,date,type,median,lower_90,upper_90,lower_50,upper_50
England,2020-06-09,estimate,316,121,517,209,366
England,2020-06-10,estimate,282,117,473,158,304
England,2020-06-11,estimate,336,127,561,214,386
England,2020-06-12,estimate,321,128,532,199,363
England,2020-06-13,estimate,322,122,537,219,384
England,2020-06-14,estimate,248,100,418,168,291
England,2020-06-15,estimate,184,75,304,129,220
England,2020-06-16,estimate,249,94,418,172,298
England,2020-06-17,estimate,218,80,367,137,248
England,2020-06-18,estimate,257,117,442,167,297
England,2020-06-19,estimate,253,117,446,159,283
England,2020-06-20,estimate,262,96,437,185,320
England,2020-06-21,estimate,202,90,355,120,225
England,2020-06-22,estimate,156,58,263,91,172
England,2020-06-23,estimate,218,91,367,141,251
England,2020-06-24,estimate,195,84,333,126,227
England,2020-06-25,estimate,246,105,429,164,294
England,2020-06-26,estimate,254,93,436,156,291
England,2020-06-27,estimate,278,116,484,177,320
England,2020-06-28,estimate,221,86,369,139,248
England,2020-06-29,estimate,186,65,308,121,218
England,2020-06-30,estimate,275,96,449,190,326
England,2020-07-01,estimate,266,111,450,169,302
England,2020-07-02,estimate,348,151,587,235,416
England,2020-07-03,estimate,371,148,609,222,415
England,2020-07-04,estimate,409,186,734,248,464
England,2020-07-05,estimate,352,134,603,223,399
England,2020-07-06,estimate,293,106,497,207,356
England,2020-07-07,estimate,438,166,710,316,539
England,2020-07-08,estimate,423,161,679,298,506
England,2020-07-09,estimate,550,231,921,346,630
England,2020-07-10,estimate,565,234,980,361,654
England,2020-07-11,estimate,622,241,1040,401,708
England,2020-07-12,estimate,506,204,837,324,580
England,2020-07-13,estimate,416,176,699,262,463
England,2020-07-14,estimate,590,235,970,364,657
England,2020-07-15,estimate,538,231,910,332,606
England,2020-07-16,estimate,672,302,1159,448,790
England,2020-07-17,estimate,677,260,1151,433,777
England,2020-07-18,estimate,721,261,1188,436,801
England,2020-07-19,estimate,584,223,960,378,677
England,2020-07-20,estimate,451,185,772,298,529
England,2020-07-21,estimate,622,241,1039,390,713
England,2020-07-22,estimate,567,216,928,386,679
England,2020-07-23,estimate,721,262,1207,421,803
England,2020-07-24,estimate,705,311,1231,409,772
England,2020-07-25,estimate,738,315,1267,487,869
England,2020-07-26,estimate,602,260,1032,407,715
England,2020-07-27,estimate,480,167,784,342,582
England,2020-07-28,estimate,670,247,1122,439,783
England,2020-07-29,estimate,620,261,1052,388,702
England,2020-07-30,estimate,763,299,1259,535,917
England,2020-07-31,estimate,773,292,1325,519,911
England,2020-08-01,estimate,833,331,1397,536,965
England,2020-08-02,estimate,688,290,1180,436,793
England,2020-08-03,estimate,539,227,930,331,613
England,2020-08-04,estimate,776,300,1298,493,891
England,2020-08-05,estimate,723,254,1182,458,831
England,2020-08-06,estimate,906,379,1511,628,1070
England,2020-08-07,estimate,926,343,1525,563,1050
England,2020-08-08,estimate based on partial data,988,386,1612,704,1184
England,2020-08-09,estimate based on partial data,796,344,1345,561,957
England,2020-08-10,estimate based on partial data,622,259,1070,407,726
England,2020-08-11,estimate based on partial data,888,393,1484,616,1057
England,2020-08-12,estimate based on partial data,801,359,1357,525,925
England,2020-08-13,estimate based on partial data,1022,401,1717,708,1223
England,2020-08-14,estimate based on partial data,1038,439,1775,653,1187
England,2020-08-15,estimate based on partial data,1071,419,1819,737,1268
England,2020-08-16,estimate based on partial data,871,321,1435,565,1014
England,2020-08-17,estimate based on partial data,691,267,1188,435,783
England,2020-08-18,estimate based on partial data,956,408,1659,558,1053
Northern Ireland,2020-06-09,estimate,6,0,21,0,6
Northern Ireland,2020-06-10,estimate,7,0,25,0,7
Northern Ireland,2020-06-11,estimate,8,0,28,0,8
Northern Ireland,2020-06-12,estimate,8,0,28,0,8
Northern Ireland,2020-06-13,estimate,2,0,8,0,2
